Organisation,Day,Time,Eventbrite link,Address,Latitude,Longitude
CC Labs,Thursday,9:00 AM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-cc-labs-tickets-32905494219?aff=MKWWebsite,"Level 1, 20 Queen St<br/> Melbourne, VIC 3000",-37.8182001,144.9625478
Electron Workshop,Tuesday,4:00 PM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-electron-workshop-tickets-32878103292?aff=MKWWebsite,31 Arden Street NORTH MELBOURNE VIC 3051,-37.8012579,144.9506901
Framework,Tuesday,3:00 PM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-framework-tickets-32878067184?aff=MKWWebsite,"Unit 1, 458 Swanston Street CARLTON VIC 3053",-37.8061211,144.9633172
Kensington Collective,Tuesday,2:00 PM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-kensington-collective-tickets-32877957857?aff=MKWWebsite,"Suite 102, Level 1 2 Chelmsford Street KENSINGTON VIC 3031",-37.796564,144.932268
Melbourne Blockchain Centre,Friday,10:00 AM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-melbourne-blockchain-centre-tickets-32907916464?aff=MKWWebsite,"Suite 16-22, 89-91 City Road SOUTHBANK VIC 3006",-37.82244,144.965027
The Cluster,Tuesday,9:00 AM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-the-cluster-tickets-32793332741?aff=MKWWebsite,Level 17 31 Queen Street MELBOURNE VIC 3000,-37.8182113,144.9617865
York Butter Factory,Wednesday,11:00 AM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-york-butter-factory-tickets-32878176511?aff=MKWWebsite,62-66 King Street MELBOURNE VIC 3000,-37.8187721,144.9571005
NAB Village,Wednesday,10:00 AM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-nab-village-tickets-33298281055?aff=MKWWebsite,788-812 Bourke Street DOCKLANDS VIC 3008,-37.819189,144.9452688
ACMI X,Friday,9:00 AM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-acmi-x-tickets-32907076953?aff=MKWWebsite,"Level 4, 2 Kavanagh Street SOUTHBANK VIC 3006",-37.8220006,144.9673512
One Roof,Monday,2:00 PM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-one-roof-tickets-33613973299?aff=MKWWebsite,77 City Road SOUTHBANK VIC 3006,-37.8222734,144.9653995
Gravity Coworking,Wednesday,9:00 AM,https://www.eventbrite.com.au/e/mkw17-coworking-tour-at-gravity-tickets-32878125358?aff=MKWWebsite,Level 13/114 William Street MELBOURNE VIC 3000,-37.8163509,144.958888
